Organization,Link,Description,Image,AA,Academic,Dance,SC,DC,Asian,Latino,Female,Vietnam,China,Drag,Formal,ST,Karaoke,GradJob,LGBTQ+,Ball,Dinner,GuestSpeaker,CurryFriday,Baazar,IU,MN,Solidarity
African Students' Association,https://depauw.campuslabs.com/engage/organization/asa,"The African Students' Association serves to create spaces to uplift and strengthen African Students, 
as well as students interested in Africa's diverse cultures at DePauw University. ",African Students' Association.png,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
Association of African-American Students,https://depauw.campuslabs.com/engage/organization/aaas,"The mission of the Association of African American Students is to educate by providing space,
access to resources, and creating diverse programming that centers Blackness and challenges social 
exclusion and oppression. Through our education and our community action, we seek to empower those
in our community to explore, understand, and appreciate Blackness and at its intersections.  To ensure, 
we achieve these aims and to protect our communities,  we will execute strategic responses to end
discriminatory acts against all Black people.",Association of African-American Students.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Caribbean Student Association,https://depauw.campuslabs.com/engage/organization/caribbeanstudentassociation,"The CSA strives to educate the DePauw campus & community about Caribbean culture,  empower 
individuals from Caribbean backgrounds and the Diaspora & connect communities through Caribbean
Culture Est. 2016",Caribbean Student Association.jpg,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Committee for Latinx Concerns,https://depauw.campuslabs.com/engage/organization/committeeforlatinoconcerns,"The Committee for Latinx Concerns is a student organization open to ALL DePauw University
students. CLC, through positive outreach, strives to offer students an open, safe, and fun atmosphere.
We lead DePauw to an understanding of different Latinx cultures by diversifying and educating the
campus with creative activities. Committed to collective leadership and active responsibility for change,
CLC combines open-minded interaction with a drive for success.",Committee for Latinx Concerns.png,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Computing Opportunities for Students of Color,https://depauw.campuslabs.com/engage/organization/csoc,"COSOC seeks to recruit, retain, and celebrate students of color. The club explores graduate school
and local-area IT industries. It showcases speakers of color; it helps students attend national-level
conferences for students of color in computing. Most of all, COSOC builds community for DePauw
students of color who are majoring in computer science. ",Computing Opportunities for Students of Color.png,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
DePauw China Connection,https://depauw.campuslabs.com/engage/organization/dcc,DePauw China Connection (DCC) builds bridges between China and DePauw.,DePauw China Connection.JPG,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DePauw International Student Association,https://depauw.campuslabs.com/engage/organization/isa,"DISA brings different cultures of the world on campus and provides an atmosphere for learning and
interaction among international and American students. DISA also seeks to help international
students acclimate to the DePauw culture and American life in general.",DePauw International Student Association.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1
Elite Precizion,https://depauw.campuslabs.com/engage/organization/eliteprecision,"There are many talented steppers lingering DePauw's campus. When thinking about performing
incompetitions and showcases, one may imagine easily distinguishable forms of dance like hip-hop
orclassical ballet. Elite Precizion provides a different form of dance that is solely step. With an active
interest in the historical African art of stepping, Elite Precizion encourages individua creativity and
uniqueness and gives students of color the ability to speak through expression. Through team building,
encouragement, positive sportsmanship, and respect we do not only seek to entertain but also to
provide a space for developing and molding future leaders. 

If you would like to join, come to our auditions every Fall Semester.

See us perform at our annual showcase every Spring Semester and at other campus-wide events
year-round! ",Elite Precizion.png,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Exalt Gospel Choir,https://depauw.campuslabs.com/engage/organization/exalt,Performs music from the African-American Christian traditions and creates fellowship.,Exalt! Gospel Choir.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Feminista!,https://depauw.campuslabs.com/engage/organization/feminista,"We the womyn of Feminista! aim to bring about positive reform to the world starting at DePauw
University. We are usually busy trying to stomp down intersecting oppression of all kinds and empowHER
other womyn to do the same.",Feminista!.png,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
House of Opulence,https://depauw.campuslabs.com/engage/organization/houseofopulence,"The goal of the House of Opulence is to cultivate a safe and respectful community, addressing the
unique issues impacting the queer, LGBTQIA+, and trans community on DePauw University's campus by
creating a surrogate-family structure that promises radical acceptance. Our mission is to involve and
educate the members of DePauw University on the intersectionality of queerness and being a student
of color. ",House of Opulence.png,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Japanese Club,https://depauw.campuslabs.com/engage/organization/jclub,"J-Club is a student led organization that hosts events focusing on Japanese culture and traditions.
The goal of J-Club is to help share Japanese culture with those who are unfamiliar with it, and to allow 
those familiar with it to engage with it on campus. ",Japanese Club.png,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
La Fuerza Latina Latin Dance Group,https://depauw.campuslabs.com/engage/organization/lafuerzalatinalatin,"La Fuerza Latina was founded at DePauw University in 2016. Our team strives to be a  group of 
members who are enthusiastic and passionate about Latinx dance. We welcome all students with a 
variety of dance experience. The purpose of La Fuerza is to provide a positive, artistic, and fun outlet
for all students. La Fuerza Latina's goal is to bring the campus together and share Latinx culture
through the love of dance with styles such as salsa and bachata. ",La Fuerza Latina Latin Dance Group.png,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Native American & Indigenous People Association,https://depauw.campuslabs.com/engage/organization/nativeamericanindigenous,"NAIPA aims to educate the DePauw and Greencastle communities on Indigenous cultures, traditions,
spirituality, and past and contemporary issues. We encourage a voice on campus for Indigenous
students of all backgrounds. We provide a space for Native American students to share their 
experiences and cultures with each other and the campus community. ",Native American & Indigenous People Association.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Students of Color in STEM,https://depauw.campuslabs.com/engage/organization/socis,"S.o.C.i.S. is designed for students of color in STEM-related majors, or with interests in STEM-
related career fields. This organization provides students with a network of other students in or 
interested in a similar major that could be a support system for them academically (tutoring) and
socially (mentoring). Moreover, S.o.C.i.S. is a platform that helps students of color start and
successfully complete a STEM major, and also to take the steps necessary to continue into graduate
programs, research, or professional careers in STEM. ",Student of Color in STEM.png,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
South Asian Student Society,https://depauw.campuslabs.com/engage/organization/sass,"The goal of the South Asian Student Society is to provide students that are South Asian, of South
Asian descent, and interested in South Asian culture with a positive space to learn and celebrate
each other's cultures. The purpose of the organization is to bring awareness to the diversity of South
Asian cultures through cultural and social events that invite everyone from the DePauw community. ",South Asian Student Society.jpg,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
The Brotherhood,https://depauw.campuslabs.com/engage/organization/thebrotherhood,"The Brotherhood acknowledges the social construction of gender and utilizes this space to address
individual and group perpetuation of sexism and patriarchy. The Brotherhood centers its work with our
values of community, commitment, and excellence:
- Our work will foster community as a means of support and uplift.
- Our work will advance our commitment to our education, to our relationships, and our personal and
collective goals. 
- Our work will both challenge and support members to strive toward individual and collective excellence 
in the relationships we maintain, the work we conduct, and to our academics.

Brotherhood has set Weekly executive meeting every Monday, and a General Body meeting the 
second Monday of every Month. 

Brotherhood also has addition social, educational, and service events open to the entire campus
community. All Brotherhood members are encouraged to join our GroupMe as a virtual version
of our community regardless of meeting attendance. Ask a council member to add you today!",The Brotherhood.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1
The HEAT,https://depauw.campuslabs.com/engage/organization/heat,"The Heat seeks to find members who are objective and passionate about majorette dance and have
an intellectual curiosity to learn majorette.",The HEAT.jpeg,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The X-Cell Dance Team,https://depauw.campuslabs.com/engage/organization/x-cell,"X-Cell, started in 1988, seeks to find members who are passionate and enthusiastic about dance, and
those who have a work ethic and have relentless drive for progress to learn and help others. The
purpose of X-Cell is to provide a positive and artistic outlet for all students in the form of stepping
and all styles of dance. It is through discipline and the commitment to creativity that we, the members
seek to uphold a standard of excellence that shall inspire all with whom we interact.",The X-Cell Dance Team.jpg,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vietnamese Student Association,https://depauw.campuslabs.com/engage/organization/vietnameseassociation,"Vietnamese Student Association at DePauw University celebrates Vietnamese culture and traditions.
",Vietnamese Student Association.jpg,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Association of Asian, Pacific Islander, and Desi American",,"Association of Asian, Pacific Islander, and Desi American celebrates and further explores the 
experiences of Asian Americans, Pacific Islander Americans and Desi Americans.",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladies and Allies for Cross-Cultural Education,,Ladies and Allies for Cross-Cultural Education acts as a catalyst for cross-cultural discussion.,Ladies and Allies for Cross-Cultural Education (LACE).png,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority Association of Pre-Medication Students,https://depauw.campuslabs.com/engage/organization/maps,"Minority Association for Pre-Med/ Health Students (MAPS) was founded in 1989 and has been
nationally recognized by the Student National Medical Association (SNMA) in 1991. The mission for
MAPS is to provide underrepresented pre-med and pre-health students- including students of color,
first-generation, women, LGBTQIA+ status, etc.- resources, guidance, and a supportive space. SNMA's
mission is to help MAPS members gain acceptance into graduate school, diversifying the healthcare
workforce with culturally competent professionals.",Minority Association of Pre-Medication Students.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
